FBgn0000008	FBgn0114341	Dere\GG22167	EOG091902HN
FBgn0001223	FBgn0107619	Dere\GG15367	EOG09190GOL
FBgn0001224	FBgn0107622	Dere\GG15370	EOG09190GWO
FBgn0001225	FBgn0106309	Dere\GG14047	EOG09190FXG
FBgn0001226	FBgn0107623	Dere\GG15371	EOG09190FPO
FBgn0001227	FBgn0106308	Dere\GG14046	EOG09190C85
FBgn0001228	FBgn0107618	Dere\GG15366	EOG09190IGC
FBgn0001229	FBgn0106310	Dere\GG14048	EOG09190FO2
FBgn0001230	FBgn0041694	Dere\Hsp68	EOG091904GK
FBgn0001233	FBgn0107365	Dere\GG15112	EOG091904BZ
FBgn0001235	FBgn0109510	Dere\GG17283	EOG091906B4
FBgn0001247	FBgn0105594	Dere\GG13322	EOG091901BL
FBgn0001248	FBgn0107341	Dere\GG15087	EOG091908AJ
FBgn0001250	FBgn0110442	Dere\GG18226	EOG091900RZ
FBgn0001253	FBgn0106569	Dere\GG14308	EOG091901FY
FBgn0001254	FBgn0106515	Dere\GG14254	EOG09190JUA
FBgn0001255	FBgn0116861	Dere\GG24730	EOG09190ESL
FBgn0001256	FBgn0107882	Dere\GG15638	EOG09190ELU
FBgn0001257	FBgn0106465	Dere\GG14204	EOG09190DO1
FBgn0001258	FBgn0106323	Dere\GG14061	EOG09190BM8
FBgn0001259	FBgn0108341	Dere\GG16106	EOG091902E6
FBgn0001263	FBgn0112283	Dere\GG20089	EOG091904OV
FBgn0001269	FBgn0112398	Dere\GG20207	EOG09190CT0
FBgn0001276	FBgn0114826	Dere\GG22655	EOG09190HU2
FBgn0001280	FBgn0043709	Dere\janA	EOG09190IXE
FBgn0001291	FBgn0116271	Dere\GG24138	EOG09190D4T
FBgn0001296	FBgn0109334	Dere\GG17106	EOG0919064F
FBgn0001297	FBgn0103990	Dere\GG11694	EOG09190DWW
FBgn0001301	FBgn0113897	Dere\GG21719	EOG091901N7
FBgn0001308	FBgn0114455	Dere\GG22283	EOG091901XZ
FBgn0001311	FBgn0103348	Dere\GG11046	EOG091900HD
FBgn0001316	FBgn0106914	Dere\GG14658	EOG0919017X
FBgn0001319	FBgn0114569	Dere\GG22397	EOG091905JN
FBgn0001320	FBgn0105564	Dere\GG13292	EOG09190BYX
FBgn0001321	FBgn0109527	Dere\GG17300	EOG091903DO
FBgn0001323	FBgn0105566	Dere\GG13294	EOG091908DW
FBgn0001324	FBgn0108297	Dere\GG16062	EOG091900EL
FBgn0001325	FBgn0115194	Dere\GG23037	EOG091908BU
FBgn0001330	FBgn0104923	Dere\GG12635	EOG09190143
FBgn0001341	FBgn0105078	Dere\GG12800	EOG091901EG
FBgn0001404	FBgn0105212	Dere\GG12939	EOG091907II
FBgn0001491	FBgn0111070	Dere\GG18863	EOG09190HCN
FBgn0001565	FBgn0109766	Dere\GG17541	EOG091905R5
FBgn0001612	FBgn0111693	Dere\GG19490	EOG091901X3
FBgn0001624	FBgn0110629	Dere\GG18414	EOG091901DA
FBgn0001941	FBgn0117239	Dere\GG25111	EOG09190ARU
FBgn0001942	FBgn0117238	Dere\GG25110	EOG0919097Y
FBgn0001961	FBgn0102491	Dere\GG10181	EOG091909HP
FBgn0001965	FBgn0116023	Dere\GG23884	EOG091900TK
FBgn0001967	FBgn0102475	Dere\GG10164	EOG09190F33
FBgn0001970	FBgn0117243	Dere\GG25115	EOG091904XC
FBgn0001974	FBgn0117262	Dere\GG25137	EOG091907NA
FBgn0001977	FBgn0116359	Dere\GG24227	EOG09190EJA
FBgn0001978	FBgn0117274	Dere\GG25149	EOG091901FL
FBgn0001981	FBgn0117283	Dere\GG25158	EOG09190D2I
FBgn0001983	FBgn0116339	Dere\GG24207	EOG091907VU
FBgn0001986	FBgn0117296	Dere\GG25171	EOG091901FZ
FBgn0001987	FBgn0116327	Dere\GG24195	EOG091901KJ
FBgn0001989	FBgn0116328	Dere\GG24196	EOG09190GNP
FBgn0001990	FBgn0116326	Dere\GG24194	EOG091907IE
FBgn0001991	FBgn0117316	Dere\GG25192	EOG09190070
FBgn0001992	FBgn0117323	Dere\GG25199	EOG091905ZB
FBgn0001994	FBgn0116312	Dere\GG24179	EOG091908CD
FBgn0001995	FBgn0116304	Dere\GG24171	EOG09190C5R
FBgn0002021	FBgn0113836	Dere\GG21658	EOG091906CN
FBgn0002022	FBgn0113334	Dere\GG21151	EOG09190E3I
FBgn0002023	FBgn0113830	Dere\GG21652	EOG091909SW
FBgn0002031	FBgn0113827	Dere\GG21649	EOG09190E5N
FBgn0002036	FBgn0113342	Dere\GG21160	EOG091907CQ
FBgn0002044	FBgn0113370	Dere\GG21189	EOG091902YQ
FBgn0002069	FBgn0112533	Dere\GG20342	EOG091906IG
FBgn0002121	FBgn0116821	Dere\GG24690	EOG091901TD
FBgn0002174	FBgn0115038	Dere\GG22881	EOG091908FK
FBgn0002183	FBgn0106809	Dere\GG14551	EOG091901R7
FBgn0002283	FBgn0105837	Dere\GG13566	EOG09190EED
FBgn0002284	FBgn0108103	Dere\GG15866	EOG09190EC7
FBgn0002306	FBgn0106160	Dere\GG13897	EOG091901B6
FBgn0002354	FBgn0111572	Dere\GG19368	EOG09190JTR
FBgn0002413	FBgn0104187	Dere\GG11892	EOG09190AM7
FBgn0002431	FBgn0109567	Dere\GG17340	EOG0919004B
FBgn0002440	FBgn0106349	Dere\GG14087	EOG09190A4Y
FBgn0002441	FBgn0104413	Dere\GG12121	EOG0919038U
FBgn0002466	FBgn0106081	Dere\GG13818	EOG091900BP
FBgn0002521	FBgn0108648	Dere\GG16416	EOG09190BN1
FBgn0002522	FBgn0102633	Dere\GG10324	EOG09190C4F
FBgn0002524	FBgn0117288	Dere\GG25163	EOG091905EO
FBgn0002525	FBgn0117208	Dere\GG25079	EOG091906QY
FBgn0002526	FBgn0106331	Dere\GG14069	EOG0919001A
FBgn0002542	FBgn0106557	Dere\GG14296	EOG091901WY
FBgn0002543	FBgn0116724	Dere\GG24592	EOG091900PI
FBgn0002552	FBgn0084272	Dere\GG23396	EOG091904RE
FBgn0002561	FBgn0028821	Dere\l(1)sc	EOG09190HWM
FBgn0002562	FBgn0109946	Dere\GG17724	EOG091902AK
FBgn0002563	FBgn0116887	Dere\GG24756	EOG091902P3
FBgn0002564	FBgn0106946	Dere\GG14690	EOG0919031O
FBgn0002565	FBgn0107807	Dere\GG15559	EOG091902U2
FBgn0002566	FBgn0113583	Dere\GG21404	EOG091902GP
FBgn0002567	FBgn0102881	Dere\GG10573	EOG091906IW
FBgn0002569	FBgn0115510	Dere\Mal-A2	EOG091904J3
FBgn0002570	FBgn0102948	Dere\Mal-A1	EOG091905U8
FBgn0002571	FBgn0102947	Dere\Mal-A3	EOG091904QE
FBgn0002573	FBgn0106037	Dere\GG13774	EOG09190947
FBgn0002576	FBgn0110525	Dere\GG18309	EOG09190991
FBgn0002577	FBgn0110657	Dere\GG18442	EOG0919054D
FBgn0002578	FBgn0103752	Dere\GG11453	EOG09190J90
FBgn0002579	FBgn0105038	Dere\GG12751	EOG09190IYX
FBgn0002590	FBgn0110418	Dere\GG18202	EOG09190EV6
FBgn0002592	FBgn0104498	Dere\GG12206	EOG09190HBD
FBgn0002593	FBgn0116848	Dere\GG24717	EOG09190KD7
FBgn0002609	FBgn0103753	Dere\GG11454	EOG09190GKH
FBgn0002622	FBgn0103503	Dere\GG11202	EOG09190E43
FBgn0002626	FBgn0104264	Dere\GG11969	EOG09190I44
FBgn0002629	FBgn0104497	Dere\GG12205	EOG09190J8H
FBgn0002631	FBgn0104496	Dere\GG12204	EOG09190GNM
FBgn0002633	FBgn0103757	Dere\GG11458	EOG09190HN7
FBgn0002638	FBgn0106362	Dere\GG14100	EOG091906YU
FBgn0002641	FBgn0111886	Dere\GG19684	EOG091902QU
FBgn0002643	FBgn0112610	Dere\GG20420	EOG09190AW0
FBgn0002645	FBgn0104137	Dere\GG11842	EOG091902D4
FBgn0002673	FBgn0116313	Dere\GG24180	EOG091908BI
FBgn0002707	FBgn0110760	Dere\GG18547	EOG091902ND
FBgn0002709	FBgn0110419	Dere\GG18203	EOG0919095L
FBgn0002715	FBgn0114337	Dere\GG22163	EOG09190BZB
FBgn0002716	FBgn0114153	Dere\GG21975	EOG09190CEY
FBgn0002719	FBgn0109328	Dere\GG17100	EOG091903KG
FBgn0002723	FBgn0110650	Dere\GG18435	EOG091904T3
FBgn0002732	FBgn0103750	Dere\GG11451	EOG09190JN5
FBgn0002733	FBgn0104499	Dere\GG12207	EOG09190FWQ
FBgn0002734	FBgn0103748	Dere\GG11449	EOG09190GOA
FBgn0002735	FBgn0103749	Dere\GG11450	EOG09190GAY
FBgn0002736	FBgn0114264	Dere\GG22089	EOG09190HJB
FBgn0002772	FBgn0104393	Dere\GG12101	EOG09190HFI
FBgn0002773	FBgn0104251	Dere\GG11956	EOG09190IQF
FBgn0002774	FBgn0103146	Dere\GG10841	EOG0919011A
FBgn0002775	FBgn0107252	Dere\GG14998	EOG0919061W
FBgn0002778	FBgn0107953	Dere\GG15709	EOG091907GO
FBgn0002780	FBgn0104136	Dere\GG11841	EOG0919090R
FBgn0002783	FBgn0112414	Dere\GG20223	EOG091902FQ
FBgn0002787	FBgn0115120	Dere\GG22963	EOG09190CNL
FBgn0002789	FBgn0112562	Dere\GG20371	EOG09190G9Y
FBgn0002791	FBgn0115073	Dere\GG22916	EOG091903JQ
FBgn0002838	FBgn0069875	Dere\ms(3)K81	EOG09190IBS
FBgn0002842	FBgn0105511	Dere\GG13239	EOG091909XT
FBgn0002855	FBgn0116408	Dere\GG24276	EOG09190F6Z
FBgn0002856	FBgn0116410	Dere\GG24278	EOG09190KAK
FBgn0002863	FBgn0277648	Dere\GG26343	EOG09190KZ0
FBgn0002868	FBgn0263425	Dere\MtnA	EOG09190KXM
FBgn0002872	FBgn0106802	Dere\GG14544	EOG091900ZO
FBgn0002873	FBgn0110060	Dere\GG17839	EOG0919050D
FBgn0002878	FBgn0084800	Dere\GG17807	EOG091901E2
FBgn0002887	FBgn0102861	Dere\GG10553	EOG09190181
FBgn0002891	FBgn0115454	Dere\GG23303	EOG0919008J
FBgn0002899	FBgn0106733	Dere\GG14474	EOG091901J9
FBgn0002901	FBgn0105913	Dere\GG13649	EOG0919032G
FBgn0002905	FBgn0109329	Dere\GG17101	EOG0919007Z
FBgn0002906	FBgn0109425	Dere\GG17198	EOG091901M7
FBgn0002914	FBgn0111568	Dere\GG19364	EOG09190416
FBgn0002917	FBgn0110062	Dere\GG17841	EOG091900AM
FBgn0002921	FBgn0116398	Dere\GG24266	EOG091901EL
FBgn0002922	FBgn0104701	Dere\GG12413	EOG09190FDG
FBgn0002924	FBgn0104292	Dere\GG12000	EOG0919047N
FBgn0002926	FBgn0106316	Dere\GG14054	EOG0919005B
