FBgn0000008	FBgn0231782	Dyak\GE14160	EOG091902HN
FBgn0000442	FBgn0233499	Dyak\GE15942	EOG091903CV
FBgn0000447	FBgn0241937	Dyak\GE24838	EOG091909CG
FBgn0000448	FBgn0238967	Dyak\GE21721	EOG091904YD
FBgn0000449	FBgn0238667	Dyak\GE21407	EOG0919074C
FBgn0000451	FBgn0237598	Dyak\GE20279	EOG09190DFV
FBgn0000454	FBgn0243332	Dyak\GE26302	EOG09190745
FBgn0000455	FBgn0241634	Dyak\GE24520	EOG0919065I
FBgn0000459	FBgn0233540	Dyak\GE15986	EOG09190FHD
FBgn0000463	FBgn0242221	Dyak\GE25135	EOG091902GI
FBgn0000464	FBgn0230963	Dyak\GE13277	EOG0919006U
FBgn0000473	FBgn0241581	Dyak\GE24465	EOG091905TB
FBgn0000479	FBgn0233832	Dyak\GE16298	EOG091903LP
FBgn0000482	FBgn0234198	Dyak\GE16701	EOG091902FX
FBgn0000490	FBgn0022825	Dyak\dpp	EOG091906G3
FBgn0000492	FBgn0241008	Dyak\GE23858	EOG09190DKC
FBgn0000499	FBgn0233484	Dyak\GE15927	EOG091907MD
FBgn0000520	FBgn0233816	Dyak\GE16280	EOG0919075P
FBgn0000524	FBgn0234248	Dyak\GE16754	EOG091904XA
FBgn0000527	FBgn0242095	Dyak\GE25005	EOG0919021W
FBgn0000529	FBgn0230357	Dyak\GE12629	EOG09190GUL
FBgn0000533	FBgn0241419	Dyak\GE24296	EOG091909CM
FBgn0000535	FBgn0234638	Dyak\GE17158	EOG091901UC
FBgn0000536	FBgn0234734	Dyak\GE17256	EOG091907FJ
FBgn0000541	FBgn0238316	Dyak\GE21036	EOG0919009G
FBgn0000542	FBgn0233848	Dyak\GE16315	EOG091900ZY
FBgn0000543	FBgn0238962	Dyak\GE21715	EOG09190428
FBgn0000546	FBgn0236769	Dyak\GE19426	EOG09190507
FBgn0000547	FBgn0235698	Dyak\GE18270	EOG091900RH
FBgn0000552	FBgn0241975	Dyak\GE24878	EOG09190IF7
FBgn0000557	FBgn0228789	Dyak\GE10959	EOG091906VL
FBgn0000559	FBgn0068162	Dyak\Ef2b	EOG091902BZ
FBgn0000562	FBgn0229339	Dyak\GE11539	EOG0919021H
FBgn0000564	FBgn0242351	Dyak\GE25269	EOG09190JZL
FBgn0000565	FBgn0240350	Dyak\GE23149	EOG09190DCG
FBgn0000566	FBgn0229765	Dyak\GE11987	EOG0919097F
FBgn0000567	FBgn0239364	Dyak\GE22135	EOG091907WG
FBgn0000568	FBgn0239329	Dyak\GE22099	EOG091902I9
FBgn0000575	FBgn0028750	Dyak\emc	EOG09190HN6
FBgn0000576	FBgn0243334	Dyak\GE26304	EOG09190DVB
FBgn0000577	FBgn0231183	Dyak\GE13516	EOG09190CJ9
FBgn0000578	FBgn0229796	Dyak\GE12021	EOG091906TV
FBgn0000579	FBgn0233043	Dyak\GE15467	EOG091906OG
FBgn0000581	FBgn0230113	Dyak\GE12366	EOG091900NN
FBgn0000588	FBgn0276641	Dyak\GE28486	EOG0919097U
FBgn0000591	FBgn0084506	Dyak\GE23650	EOG09190H0L
FBgn0000606	FBgn0024766	Dyak\eve	EOG09190EWC
FBgn0000611	FBgn0234722	Dyak\GE17244	EOG09190BIB
FBgn0000615	FBgn0231428	Dyak\GE13776	EOG0919078J
FBgn0000617	FBgn0235136	Dyak\GE17689	EOG09190ESM
FBgn0000618	FBgn0234764	Dyak\GE17290	EOG09190JXR
FBgn0000625	FBgn0237444	Dyak\GE20121	EOG09190987
FBgn0000629	FBgn0237584	Dyak\GE20265	EOG091902Z7
FBgn0000633	FBgn0230290	Dyak\GE12558	EOG0919032A
FBgn0000635	FBgn0234362	Dyak\GE16870	EOG091902KL
FBgn0000636	FBgn0230883	Dyak\GE13188	EOG0919068O
FBgn0000639	FBgn0237355	Dyak\GE20030	EOG0919026P
FBgn0000640	FBgn0236223	Dyak\GE18839	EOG09190F5R
FBgn0000644	FBgn0234395	Dyak\GE16905	EOG09190GP1
FBgn0000658	FBgn0229719	Dyak\GE11939	EOG091907HU
FBgn0000659	FBgn0228365	Dyak\GE10507	EOG091909A1
FBgn0000662	FBgn0231021	Dyak\GE13341	EOG09190B8F
FBgn0000667	FBgn0234475	Dyak\GE16989	EOG091901RU
FBgn0000709	FBgn0235355	Dyak\GE17919	EOG0919010E
FBgn0000711	FBgn0235284	Dyak\GE17843	EOG091909DH
FBgn0000715	FBgn0236666	Dyak\GE19316	EOG09190AF7
FBgn0000719	FBgn0232849	Dyak\GE15262	EOG09190BQH
FBgn0000721	FBgn0232417	Dyak\GE14825	EOG09190290
FBgn0000723	FBgn0241886	Dyak\GE24784	EOG0919018J
FBgn0000808	FBgn0235035	Dyak\GE17578	EOG0919066U
FBgn0000810	FBgn0276843	Dyak\GE28688	EOG09190HNM
FBgn0000826	FBgn0234047	Dyak\GE16532	EOG09190DTS
FBgn0000927	FBgn0233814	Dyak\GE16278	EOG091905LM
FBgn0000928	FBgn0233813	Dyak\GE16277	EOG091901RT
FBgn0000964	FBgn0230945	Dyak\GE13257	EOG09190DZZ
FBgn0000996	FBgn0067985	Dyak\dup	EOG0919043Y
FBgn0001075	FBgn0232356	Dyak\GE14764	EOG0919000C
FBgn0001077	FBgn0241981	Dyak\GE24884	EOG09190CCT
FBgn0001078	FBgn0239287	Dyak\GE22055	EOG0919045V
FBgn0001079	FBgn0235188	Dyak\GE17742	EOG0919036B
FBgn0001083	FBgn0234225	Dyak\GE16729	EOG091900XE
FBgn0001084	FBgn0228825	Dyak\GE10996	EOG09190ALI
FBgn0001085	FBgn0239244	Dyak\GE22012	EOG0919043M
FBgn0001086	FBgn0238721	Dyak\GE21464	EOG091906OF
FBgn0001087	FBgn0041643	Dyak\g	EOG091902VD
FBgn0001089	FBgn0236331	Dyak\GE18961	EOG091904DC
FBgn0001090	FBgn0233063	Dyak\GE15487	EOG09190EU9
FBgn0001098	FBgn0228680	Dyak\GE10843	EOG091904US
FBgn0001104	FBgn0237769	Dyak\GE20454	EOG09190AAD
FBgn0001105	FBgn0234708	Dyak\GE17230	EOG09190ABJ
FBgn0001108	FBgn0239219	Dyak\GE21986	EOG091901HP
FBgn0001112	FBgn0013927	Dyak\Gld	EOG09190498
FBgn0001114	FBgn0236175	Dyak\GE18789	EOG091906JV
FBgn0001120	FBgn0237325	Dyak\GE19999	EOG09190ETS
FBgn0001122	FBgn0236709	Dyak\GE19363	EOG09190A4T
FBgn0001123	FBgn0231957	Dyak\GE14344	EOG091909KZ
FBgn0001124	FBgn0229552	Dyak\GE11758	EOG091909JD
FBgn0001125	FBgn0232866	Dyak\GE15280	EOG091907TU
FBgn0001128	FBgn0017652	Dyak\Gpdh	EOG09190AR3
FBgn0001133	FBgn0231406	Dyak\GE13753	EOG091904XK
FBgn0001134	FBgn0237259	Dyak\GE19930	EOG0919055F
FBgn0001137	FBgn0228812	Dyak\GE10983	EOG09190HNW
FBgn0001138	FBgn0241970	Dyak\GE24873	EOG091909UF
FBgn0001139	FBgn0240816	Dyak\GE23652	EOG091903NX
FBgn0001142	FBgn0234104	Dyak\GE16593	EOG091908J2
FBgn0001145	FBgn0233492	Dyak\GE15935	EOG09190918
FBgn0001147	FBgn0229199	Dyak\GE11387	EOG091909ZY
FBgn0001148	FBgn0232069	Dyak\GE14464	EOG09190B89
FBgn0001149	FBgn0013168	Dyak\GstD1	EOG09190F2W
FBgn0001150	FBgn0234433	Dyak\GE16945	EOG09190FDJ
FBgn0001168	FBgn0238065	Dyak\GE20765	EOG09190FO3
FBgn0001169	FBgn0242738	Dyak\GE25676	EOG091906C5
FBgn0001170	FBgn0236329	Dyak\GE18959	EOG09190DDJ
FBgn0001174	FBgn0233127	Dyak\GE15555	EOG09190JH2
FBgn0001179	FBgn0238996	Dyak\GE21750	EOG091902X7
FBgn0001180	FBgn0022824	Dyak\hb	EOG091905UB
FBgn0001185	FBgn0230473	Dyak\GE12751	EOG0919049Z
FBgn0001186	FBgn0020950	Dyak\Hex-A	EOG09190717
FBgn0001187	FBgn0020949	Dyak\Hex-C	EOG0919091T
FBgn0001189	FBgn0234199	Dyak\GE16702	EOG091905NL
FBgn0001197	FBgn0240855	Dyak\GE23696	EOG09190J0I
FBgn0001202	FBgn0230407	Dyak\GE12681	EOG091904D9
FBgn0001206	FBgn0232964	Dyak\GE15386	EOG091901AO
FBgn0001208	FBgn0068144	Dyak\Hn	EOG0919070D
FBgn0001215	FBgn0240946	Dyak\GE23791	EOG09190E5G
FBgn0001216	FBgn0239222	Dyak\GE21989	EOG091904NJ
FBgn0001217	FBgn0243273	Dyak\GE26242	EOG091904E8
FBgn0001218	FBgn0068142	Dyak\Hsc70-3	EOG091904CP
FBgn0001220	FBgn0230075	Dyak\GE12323	EOG0919045L
FBgn0001222	FBgn0066133	Dyak\Hsf	EOG091903TJ
FBgn0001223	FBgn0238121	Dyak\GE20830	EOG09190GOL
FBgn0001224	FBgn0238123	Dyak\GE20832	EOG09190GWO
FBgn0001225	FBgn0238521	Dyak\GE21250	EOG09190FXG
FBgn0001226	FBgn0238124	Dyak\GE20833	EOG09190FPO
FBgn0001227	FBgn0238520	Dyak\GE21249	EOG09190C85
FBgn0001228	FBgn0068141	Dyak\Hsp67Bb	EOG09190IGC
FBgn0001229	FBgn0068140	Dyak\Hsp67Bc	EOG09190FO2
FBgn0001230	FBgn0042719	Dyak\Hsp68	EOG091904GK
FBgn0001233	FBgn0238602	Dyak\GE21339	EOG091904BZ
FBgn0001235	FBgn0241790	Dyak\GE24684	EOG091906B4
FBgn0001247	FBgn0239634	Dyak\GE22411	EOG091901BL
FBgn0001248	FBgn0238577	Dyak\GE21312	EOG091908AJ
FBgn0001250	FBgn0233215	Dyak\GE15645	EOG091900RZ
FBgn0001253	FBgn0238039	Dyak\GE20737	EOG091901FY
FBgn0001254	FBgn0237987	Dyak\GE20682	EOG09190JUA
FBgn0001256	FBgn0239199	Dyak\GE21966	EOG09190ELU
FBgn0001257	FBgn0237937	Dyak\GE20632	EOG09190DO1
FBgn0001258	FBgn0237801	Dyak\GE20486	EOG09190BM8
FBgn0001259	FBgn0237007	Dyak\GE19671	EOG091902E6
FBgn0001263	FBgn0229426	Dyak\GE11628	EOG091904OV
FBgn0001269	FBgn0230114	Dyak\GE12367	EOG09190CT0
FBgn0001276	FBgn0231196	Dyak\GE13530	EOG09190HU2
FBgn0001280	FBgn0043602	Dyak\janA	EOG09190IXE
FBgn0001285	FBgn0236575	Dyak\GE19218	EOG09190CVA
FBgn0001291	FBgn0236685	Dyak\GE19337	EOG09190D4T
FBgn0001296	FBgn0241609	Dyak\GE24495	EOG0919064F
FBgn0001297	FBgn0241033	Dyak\GE23884	EOG09190DWW
FBgn0001301	FBgn0230466	Dyak\GE12744	EOG091901N7
FBgn0001308	FBgn0231705	Dyak\GE14079	EOG091901XZ
FBgn0001311	FBgn0242368	Dyak\GE25288	EOG091900HD
FBgn0001313	FBgn0275784	Dyak\GE27629	EOG091900AQ
FBgn0001316	FBgn0238300	Dyak\GE21018	EOG0919017X
FBgn0001319	FBgn0230042	Dyak\GE12286	EOG091905JN
FBgn0001320	FBgn0239612	Dyak\GE22389	EOG09190BYX
FBgn0001321	FBgn0241808	Dyak\GE24703	EOG091903DO
FBgn0001325	FBgn0232072	Dyak\GE14467	EOG091908BU
FBgn0001330	FBgn0234451	Dyak\GE16964	EOG09190143
FBgn0001341	FBgn0234128	Dyak\GE16627	EOG091901EG
FBgn0001404	FBgn0233801	Dyak\GE16264	EOG091907II
FBgn0001491	FBgn0234777	Dyak\GE17304	EOG09190HCN
FBgn0001565	FBgn0232884	Dyak\GE15300	EOG091905R5
FBgn0001612	FBgn0233687	Dyak\GE16142	EOG091901X3
FBgn0001624	FBgn0233489	Dyak\GE15932	EOG091901DA
FBgn0001941	FBgn0067963	Dyak\ifc	EOG09190ARU
FBgn0001942	FBgn0067982	Dyak\eIF-4a	EOG0919097Y
FBgn0001961	FBgn0229225	Dyak\GE11416	EOG091909HP
FBgn0001965	FBgn0236085	Dyak\GE18685	EOG091900TK
FBgn0001967	FBgn0242266	Dyak\GE25181	EOG09190F33
FBgn0001970	FBgn0236398	Dyak\GE19032	EOG091904XC
FBgn0001974	FBgn0236418	Dyak\GE19056	EOG091907NA
FBgn0001977	FBgn0236762	Dyak\GE19419	EOG09190EJA
FBgn0001978	FBgn0238180	Dyak\GE20891	EOG091901FL
FBgn0001981	FBgn0238253	Dyak\GE20968	EOG09190D2I
FBgn0001983	FBgn0236745	Dyak\GE19402	EOG091907VU
FBgn0001986	FBgn0238401	Dyak\GE21122	EOG091901FZ
FBgn0001987	FBgn0236734	Dyak\GE19390	EOG091901KJ
FBgn0001989	FBgn0236735	Dyak\GE19391	EOG09190GNP
FBgn0001990	FBgn0236733	Dyak\GE19389	EOG091907IE
FBgn0001991	FBgn0238605	Dyak\GE21343	EOG09190070
FBgn0001992	FBgn0238680	Dyak\GE21420	EOG091905ZB
FBgn0001994	FBgn0236717	Dyak\GE19372	EOG091908CD
FBgn0001995	FBgn0236711	Dyak\GE19365	EOG09190C5R
FBgn0002021	FBgn0230404	Dyak\GE12678	EOG091906CN
FBgn0002022	FBgn0230918	Dyak\GE13224	EOG09190E3I
FBgn0002023	FBgn0230399	Dyak\GE12672	EOG091909SW
FBgn0002031	FBgn0230396	Dyak\GE12669	EOG09190E5N
FBgn0002036	FBgn0230926	Dyak\GE13233	EOG091907CQ
FBgn0002044	FBgn0068519	Dyak\GE13261	EOG091902YQ
FBgn0002069	FBgn0068540	Dyak\Aats-asp	EOG091906IG
FBgn0002121	FBgn0234042	Dyak\GE16527	EOG091901TD
FBgn0002174	FBgn0231933	Dyak\GE14318	EOG091908FK
FBgn0002183	FBgn0238194	Dyak\GE20905	EOG091901R7
FBgn0002283	FBgn0237194	Dyak\GE19864	EOG09190EED
FBgn0002284	FBgn0239432	Dyak\GE22205	EOG09190EC7
FBgn0002306	FBgn0242005	Dyak\GE24910	EOG091901B6
FBgn0002354	FBgn0243267	Dyak\GE26235	EOG09190JTR
FBgn0002413	FBgn0240533	Dyak\GE23340	EOG09190AM7
FBgn0002431	FBgn0041642	Dyak\hyd	EOG0919004B
FBgn0002440	FBgn0237824	Dyak\GE20510	EOG09190A4Y
FBgn0002441	FBgn0228426	Dyak\GE10570	EOG0919038U
FBgn0002466	FBgn0237436	Dyak\GE20113	EOG091900BP
FBgn0002521	FBgn0232089	Dyak\GE14485	EOG09190BN1
FBgn0002522	FBgn0242889	Dyak\GE25839	EOG09190C4F
FBgn0002524	FBgn0238294	Dyak\GE21012	EOG091905EO
FBgn0002525	FBgn0242540	Dyak\GE25472	EOG091906QY
FBgn0002526	FBgn0237809	Dyak\GE20494	EOG0919001A
FBgn0002542	FBgn0242049	Dyak\GE24955	EOG091901WY
FBgn0002543	FBgn0233172	Dyak\GE15600	EOG091900PI
FBgn0002552	FBgn0084067	Dyak\GE19237	EOG091904RE
FBgn0002561	FBgn0025398	Dyak\l(1)sc	EOG09190HWM
FBgn0002562	FBgn0234500	Dyak\GE17014	EOG091902AK
FBgn0002563	FBgn0234688	Dyak\GE17210	EOG091902P3
FBgn0002564	FBgn0238332	Dyak\GE21052	EOG0919031O
FBgn0002565	FBgn0239126	Dyak\GE21884	EOG091902U2
FBgn0002567	FBgn0239687	Dyak\GE22467	EOG091906IW
FBgn0002569	FBgn0236559	Dyak\Mal-A2	EOG091904J3
FBgn0002570	FBgn0240205	Dyak\Mal-A1	EOG091905U8
FBgn0002571	FBgn0240194	Dyak\Mal-A3	EOG091904QE
FBgn0002573	FBgn0237393	Dyak\GE20069	EOG09190947
FBgn0002576	FBgn0235232	Dyak\GE17788	EOG09190991
FBgn0002577	FBgn0233234	Dyak\GE15664	EOG0919054D
FBgn0002578	FBgn0082695	Dyak\m1	EOG09190J90
FBgn0002579	FBgn0068069	Dyak\RpL36	EOG09190IYX
FBgn0002590	FBgn0233190	Dyak\GE15619	EOG09190EV6
FBgn0002592	FBgn0082694	Dyak\m2	EOG09190HBD
FBgn0002593	FBgn0068061	Dyak\RpLP1	EOG09190KD7
FBgn0002609	FBgn0240814	Dyak\GE23647	EOG09190GKH
FBgn0002622	FBgn0068050	Dyak\RpS3	EOG09190E43
FBgn0002626	FBgn0068070	Dyak\RpL32	EOG09190I44
FBgn0002629	FBgn0082693	Dyak\m4	EOG09190J8H
FBgn0002631	FBgn0228500	Dyak\GE10648	EOG09190GNM
FBgn0002632	FBgn0082692	Dyak\m6	EOG09190K8W
FBgn0002633	FBgn0082704	Dyak\HLHm7	EOG09190HN7
FBgn0002638	FBgn0237835	Dyak\GE20522	EOG091906YU
FBgn0002641	FBgn0235321	Dyak\GE17883	EOG091902QU
FBgn0002643	FBgn0230311	Dyak\GE12580	EOG09190AW0
FBgn0002645	FBgn0240485	Dyak\GE23288	EOG091902D4
FBgn0002673	FBgn0236718	Dyak\GE19373	EOG091908BI
FBgn0002707	FBgn0234354	Dyak\GE16862	EOG091902ND
FBgn0002709	FBgn0046713	Dyak\mei-218	EOG0919095L
FBgn0002715	FBgn0230002	Dyak\GE12243	EOG09190BZB
FBgn0002716	FBgn0229826	Dyak\GE12053	EOG09190CEY
FBgn0002719	FBgn0241604	Dyak\GE24490	EOG091903KG
FBgn0002723	FBgn0233227	Dyak\GE15657	EOG091904T3
FBgn0002732	FBgn0082696	Dyak\malpha	EOG09190JN5
FBgn0002733	FBgn0082707	Dyak\HLHmbeta	EOG09190FWQ
FBgn0002734	FBgn0082706	Dyak\HLHmdelta	EOG09190GOA
FBgn0002735	FBgn0082705	Dyak\HLHmgamma	EOG09190GAY
FBgn0002736	FBgn0067949	Dyak\mago	EOG09190HJB
FBgn0002772	FBgn0015215	Dyak\Mlc1	EOG09190HFI
FBgn0002773	FBgn0068125	Dyak\Mlc2	EOG09190IQF
FBgn0002774	FBgn0236778	Dyak\GE19435	EOG0919011A
FBgn0002775	FBgn0237759	Dyak\GE20444	EOG0919061W
FBgn0002778	FBgn0239272	Dyak\GE22040	EOG091907GO
FBgn0002780	FBgn0228804	Dyak\GE10975	EOG0919090R
FBgn0002783	FBgn0243371	Dyak\GE26342	EOG091902FQ
FBgn0002787	FBgn0232008	Dyak\GE14400	EOG09190CNL
FBgn0002789	FBgn0068121	Dyak\Mp20	EOG09190G9Y
FBgn0002791	FBgn0231965	Dyak\GE14353	EOG091903JQ
FBgn0002838	FBgn0069454	Dyak\ms(3)K81	EOG09190IBS
FBgn0002855	FBgn0020665	Dyak\Acp26Aa	EOG09190F6Z
FBgn0002856	FBgn0236343	Dyak\GE18974	EOG09190KAK
FBgn0002863	FBgn0276816	Dyak\GE28661	EOG09190KZ0
FBgn0002868	FBgn0263438	Dyak\MtnA	EOG09190KXM
FBgn0002872	FBgn0238187	Dyak\GE20898	EOG091900ZO
FBgn0002878	FBgn0085067	Dyak\GE17103	EOG091901E2
FBgn0002887	FBgn0236160	Dyak\GE18773	EOG09190181
FBgn0002891	FBgn0236509	Dyak\GE19149	EOG0919008J
FBgn0002899	FBgn0238910	Dyak\GE21661	EOG091901J9
FBgn0002901	FBgn0237272	Dyak\GE19943	EOG0919032G
FBgn0002905	FBgn0241605	Dyak\GE24491	EOG0919007Z
FBgn0002906	FBgn0227972	Dyak\GE10090	EOG091901M7
FBgn0002909	FBgn0238861	Dyak\GE21607	EOG091904B2
FBgn0002914	FBgn0233564	Dyak\GE16012	EOG09190416
FBgn0002917	FBgn0234616	Dyak\GE17135	EOG091900AM
FBgn0002921	FBgn0242757	Dyak\GE25699	EOG091901EL
FBgn0002922	FBgn0241076	Dyak\GE23932	EOG09190FDG
